2024-01-24 22:25:08 - Epoch 1: Training Loss: 3.9766, Training Accuracy = 26.088%, Test Loss: 2.1739, Test Accuracy = 59.7239%
2024-01-25 03:21:05 - Epoch 23: Training Loss: 0.0039, Training Accuracy = 99.9763%, Test Loss: 0.5645, Test Accuracy = 87.4438%
2024-01-25 03:33:54 - Epoch 24: Training Loss: 0.0036, Training Accuracy = 99.9684%, Test Loss: 0.5644, Test Accuracy = 87.4767%
2024-01-25 03:46:18 - Epoch 25: Training Loss: 0.0038, Training Accuracy = 99.9763%, Test Loss: 0.5642, Test Accuracy = 87.5425%
2024-01-25 03:58:43 - Epoch 26: Training Loss: 0.0033, Training Accuracy = 99.9842%, Test Loss: 0.5636, Test Accuracy = 87.5534%
2024-01-25 04:14:50 - Epoch 27: Training Loss: 0.0032, Training Accuracy = 99.9921%, Test Loss: 0.5639, Test Accuracy = 87.5863%
2024-01-25 04:34:54 - Epoch 28: Training Loss: 0.0031, Training Accuracy = 99.9842%, Test Loss: 0.5649, Test Accuracy = 87.5096%
2024-01-25 04:53:55 - Epoch 29: Training Loss: 0.0035, Training Accuracy = 99.9684%, Test Loss: 0.5649, Test Accuracy = 87.4986%
2024-01-25 05:08:51 - Epoch 30: Training Loss: 0.0031, Training Accuracy = 100.0%, Test Loss: 0.5644, Test Accuracy = 87.5096%
2024-01-25 05:21:11 - Epoch 31: Training Loss: 0.0029, Training Accuracy = 99.9842%, Test Loss: 0.5644, Test Accuracy = 87.5315%
2024-01-25 05:33:52 - Epoch 32: Training Loss: 0.003, Training Accuracy = 100.0%, Test Loss: 0.5644, Test Accuracy = 87.5205%
2024-01-25 05:46:46 - Epoch 33: Training Loss: 0.0032, Training Accuracy = 99.9921%, Test Loss: 0.5644, Test Accuracy = 87.5205%
2024-01-25 05:59:46 - Epoch 34: Training Loss: 0.0029, Training Accuracy = 100.0%, Test Loss: 0.5645, Test Accuracy = 87.4877%
2024-01-25 06:12:31 - Epoch 35: Training Loss: 0.0029, Training Accuracy = 100.0%, Test Loss: 0.5645, Test Accuracy = 87.4877%
2024-01-25 06:25:26 - Epoch 36: Training Loss: 0.0034, Training Accuracy = 99.9842%, Test Loss: 0.5646, Test Accuracy = 87.4986%
2024-01-25 06:39:04 - Epoch 37: Training Loss: 0.0028, Training Accuracy = 100.0%, Test Loss: 0.5647, Test Accuracy = 87.4767%
2024-01-25 06:52:00 - Epoch 38: Training Loss: 0.0028, Training Accuracy = 100.0%, Test Loss: 0.5646, Test Accuracy = 87.4767%
2024-01-25 07:05:29 - Epoch 39: Training Loss: 0.0027, Training Accuracy = 100.0%, Test Loss: 0.5646, Test Accuracy = 87.4877%
2024-01-25 07:18:21 - Epoch 40: Training Loss: 0.0031, Training Accuracy = 99.9921%, Test Loss: 0.5645, Test Accuracy = 87.4877%
2024-01-25 07:32:50 - Epoch 41: Training Loss: 0.003, Training Accuracy = 99.9921%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 07:45:47 - Epoch 42: Training Loss: 0.0028, Training Accuracy = 100.0%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 07:59:18 - Epoch 43: Training Loss: 0.0032, Training Accuracy = 99.9684%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 08:13:14 - Epoch 44: Training Loss: 0.0032, Training Accuracy = 99.9921%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 08:26:35 - Epoch 45: Training Loss: 0.0037, Training Accuracy = 99.9684%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 08:40:02 - Epoch 46: Training Loss: 0.0031, Training Accuracy = 99.9842%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 08:53:27 - Epoch 47: Training Loss: 0.0029, Training Accuracy = 99.9921%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 09:05:59 - Epoch 48: Training Loss: 0.0029, Training Accuracy = 100.0%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 09:17:54 - Epoch 49: Training Loss: 0.003, Training Accuracy = 99.9842%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 09:31:05 - Epoch 50: Training Loss: 0.0031, Training Accuracy = 99.9842%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 09:44:03 - Epoch 51: Training Loss: 0.0031, Training Accuracy = 99.9842%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 09:57:12 - Epoch 52: Training Loss: 0.003, Training Accuracy = 99.9921%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 10:10:53 - Epoch 53: Training Loss: 0.0032, Training Accuracy = 99.9763%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 10:25:03 - Epoch 54: Training Loss: 0.0027, Training Accuracy = 100.0%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 10:37:17 - Epoch 55: Training Loss: 0.0031, Training Accuracy = 99.9842%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 10:49:56 - Epoch 56: Training Loss: 0.0029, Training Accuracy = 100.0%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 11:04:17 - Epoch 57: Training Loss: 0.0027, Training Accuracy = 100.0%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 11:18:41 - Epoch 58: Training Loss: 0.0028, Training Accuracy = 100.0%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 11:31:04 - Epoch 59: Training Loss: 0.0028, Training Accuracy = 99.9921%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 11:43:06 - Epoch 60: Training Loss: 0.0036, Training Accuracy = 99.9763%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 11:55:51 - Epoch 61: Training Loss: 0.0031, Training Accuracy = 99.9842%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 12:09:04 - Epoch 62: Training Loss: 0.003, Training Accuracy = 99.9921%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 12:21:40 - Epoch 63: Training Loss: 0.0029, Training Accuracy = 99.9921%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 12:35:19 - Epoch 64: Training Loss: 0.0026, Training Accuracy = 100.0%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 12:49:25 - Epoch 65: Training Loss: 0.0035, Training Accuracy = 99.9842%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 13:03:04 - Epoch 66: Training Loss: 0.003, Training Accuracy = 99.9842%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 13:18:41 - Epoch 67: Training Loss: 0.0028, Training Accuracy = 100.0%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 13:33:24 - Epoch 68: Training Loss: 0.0033, Training Accuracy = 99.9842%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 13:47:27 - Epoch 69: Training Loss: 0.0031, Training Accuracy = 99.9921%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 14:00:27 - Epoch 70: Training Loss: 0.0028, Training Accuracy = 99.9921%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 14:13:26 - Epoch 71: Training Loss: 0.0026, Training Accuracy = 99.9921%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 14:24:58 - Epoch 72: Training Loss: 0.0028, Training Accuracy = 100.0%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 14:34:54 - Epoch 73: Training Loss: 0.0028, Training Accuracy = 99.9842%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 14:44:48 - Epoch 74: Training Loss: 0.0033, Training Accuracy = 99.9763%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 14:54:42 - Epoch 75: Training Loss: 0.0029, Training Accuracy = 100.0%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 15:04:37 - Epoch 76: Training Loss: 0.0029, Training Accuracy = 100.0%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 15:14:46 - Epoch 77: Training Loss: 0.0031, Training Accuracy = 99.9921%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 15:25:07 - Epoch 78: Training Loss: 0.0031, Training Accuracy = 99.9763%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 15:35:06 - Epoch 79: Training Loss: 0.0029, Training Accuracy = 99.9921%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 15:45:03 - Epoch 80: Training Loss: 0.0029, Training Accuracy = 100.0%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 15:54:58 - Epoch 81: Training Loss: 0.0031, Training Accuracy = 99.9842%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 16:04:56 - Epoch 82: Training Loss: 0.003, Training Accuracy = 99.9921%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 16:14:53 - Epoch 83: Training Loss: 0.0029, Training Accuracy = 99.9921%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 16:24:49 - Epoch 84: Training Loss: 0.0028, Training Accuracy = 100.0%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 16:34:46 - Epoch 85: Training Loss: 0.0029, Training Accuracy = 99.9842%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 16:44:41 - Epoch 86: Training Loss: 0.0034, Training Accuracy = 99.9842%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 16:54:36 - Epoch 87: Training Loss: 0.0029, Training Accuracy = 99.9921%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 17:04:31 - Epoch 88: Training Loss: 0.0029, Training Accuracy = 99.9921%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 17:14:27 - Epoch 89: Training Loss: 0.0029, Training Accuracy = 99.9921%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 17:24:23 - Epoch 90: Training Loss: 0.0029, Training Accuracy = 100.0%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 17:34:21 - Epoch 91: Training Loss: 0.0028, Training Accuracy = 100.0%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 17:44:24 - Epoch 92: Training Loss: 0.0032, Training Accuracy = 99.9763%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 17:54:20 - Epoch 93: Training Loss: 0.0026, Training Accuracy = 100.0%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 18:04:16 - Epoch 94: Training Loss: 0.003, Training Accuracy = 99.9921%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 18:14:11 - Epoch 95: Training Loss: 0.0035, Training Accuracy = 99.9842%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 18:24:07 - Epoch 96: Training Loss: 0.0028, Training Accuracy = 100.0%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 18:34:04 - Epoch 97: Training Loss: 0.0027, Training Accuracy = 100.0%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 18:44:00 - Epoch 98: Training Loss: 0.0028, Training Accuracy = 99.9921%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 18:53:56 - Epoch 99: Training Loss: 0.003, Training Accuracy = 99.9921%, Test Loss: 0.5645, Test Accuracy = 87.4986%
2024-01-25 19:03:52 - Epoch 100: Training Loss: 0.0031, Training Accuracy = 99.9921%, Test Loss: 0.5645, Test Accuracy = 87.4986%
